"Mode:One URL - several phrases";;
"URL:www.ya.ru";;
"22 май 12";;
;;
;;
"www.albatros.ru";"Google.ru";"Yandex-Moscow"
"асутп";"3 ";"13 "
"датчик уровня";"1 ";"3 "
"датчик уровня поплавковый";"2 ";"3 "
"датчики уровня";"1 ";"4 "
"контроллеры микропроцессорные";"1 ";-0
"программируемые контроллеры";"3 ";"4 "
"промышленные контроллеры";"9 ";"6 "
"промышленный контроллер";"6 ";"13 "
"радарный уровнемер";"4 ";"11 "
"сигнализатор уровня";"1 ";"2 "
"сигнализаторы уровня";"1 ";"1 "
"ультразвуковой уровнемер";"4 ";"1 "
"ультразвуковые датчики уровня";"1 ";"1 "
"уровнемер";"1 ";"3 "
"уровнемер радарный";"2 ";"2 "
"уровнемеры";"1 ";"4 "
"учет нефтепродуктов на азс";"3 ";"3 "
"учет нефтепродуктов нефтебаза";"1 ";"1 "
"датчик давления";-0;"57 "
"датчики давления";-0;"83 "
